date,active_tasks,active_task_users,response_count,response_users
2026-05-15,109,56,4395,432
2026-05-16,106,59,5408,474
2026-05-17,88,46,4203,413
2026-05-18,106,54,3723,448
2026-05-19,122,67,2964,348
2026-05-20,92,41,157,18
2026-05-21,84,42,211,15
2026-05-22,64,31,168,16
2026-05-23,97,34,9,4
2026-05-24,86,43,18,1
2026-05-25,97,40,279,8
2026-05-26,10,8,5,1
