date,upload_started,upload_started_users,upload_completed,upload_completed_users,upload_failed,upload_failed_users,upload_cancelled,upload_success_rate,upload_failed_rate,attach_processed,file_viewed,file_paste,uploaded_size_p50_bytes,uploaded_size_p95_bytes
2026-05-15,1146,286,1099,279,29,19,16,0.959,0.0253,549,642,355,89367.0,2975957.0
2026-05-16,1203,235,1155,230,33,21,12,0.9601,0.0274,541,540,480,77135.0,4324627.6
2026-05-17,1045,255,982,245,44,22,14,0.9397,0.0421,565,530,302,117557.0,4448132.0
2026-05-18,1139,239,1073,239,40,14,21,0.9421,0.0351,610,571,338,104353.0,4246768.8
2026-05-19,779,141,648,140,48,12,4,0.8318,0.0616,334,283,256,69138.0,3499972.0
2026-05-20,525,117,433,113,80,20,10,0.8248,0.1524,176,166,200,53471.0,6304332.4
2026-05-21,485,103,452,100,27,11,7,0.932,0.0557,189,209,202,64364.0,3211993.8
2026-05-22,413,115,391,114,14,7,8,0.9467,0.0339,143,259,120,65093.0,4273694.0
