day,event,events,users
2026-05-15,connector:discord_connected,4,3
2026-05-15,connector:google_connected,37,17
2026-05-15,connector:google_workspace_folder_set,8,7
2026-05-15,connector:google_workspace_picker_unavailable,8,8
2026-05-15,connector:lark_connected,3,1
2026-05-15,connector:slack_connected,8,4
2026-05-15,connector:telegram_connected,133,60
2026-05-16,connector:discord_connected,3,3
2026-05-16,connector:google_connected,62,25
2026-05-16,connector:google_workspace_folder_set,3,3
2026-05-16,connector:google_workspace_picker_unavailable,8,8
2026-05-16,connector:slack_connected,4,4
2026-05-16,connector:telegram_connected,115,47
2026-05-17,connector:google_connected,90,19
2026-05-17,connector:google_workspace_folder_set,4,4
2026-05-17,connector:google_workspace_picker_unavailable,5,4
2026-05-17,connector:slack_connected,7,3
2026-05-17,connector:telegram_connected,107,44
2026-05-18,connector:discord_connected,16,2
2026-05-18,connector:google_connected,48,19
2026-05-18,connector:google_workspace_folder_set,2,2
2026-05-18,connector:google_workspace_picker_unavailable,5,5
2026-05-18,connector:lark_connected,9,2
2026-05-18,connector:slack_connected,21,8
2026-05-18,connector:telegram_connected,161,53
2026-05-19,connector:discord_connected,12,3
2026-05-19,connector:google_connected,71,26
2026-05-19,connector:google_workspace_folder_set,2,2
2026-05-19,connector:google_workspace_picker_unavailable,6,6
2026-05-19,connector:lark_connected,5,2
2026-05-19,connector:slack_connected,25,7
2026-05-19,connector:telegram_connected,97,43
2026-05-20,connector:discord_connected,14,1
2026-05-20,connector:google_connected,73,20
2026-05-20,connector:google_workspace_folder_set,4,4
2026-05-20,connector:google_workspace_picker_unavailable,2,2
2026-05-20,connector:slack_connected,36,5
2026-05-20,connector:telegram_connected,104,33
2026-05-21,connector:discord_connected,3,1
2026-05-21,connector:google_connected,49,9
2026-05-21,connector:google_workspace_folder_set,1,1
2026-05-21,connector:google_workspace_picker_unavailable,1,1
2026-05-21,connector:slack_connected,16,3
2026-05-21,connector:telegram_connected,120,40
2026-05-22,connector:discord_connected,4,2
2026-05-22,connector:google_connected,43,15
2026-05-22,connector:google_workspace_folder_set,4,3
2026-05-22,connector:google_workspace_picker_unavailable,2,2
2026-05-22,connector:lark_connected,3,1
2026-05-22,connector:slack_connected,15,5
2026-05-22,connector:telegram_connected,129,53
2026-05-23,connector:google_connected,23,7
2026-05-23,connector:slack_connected,13,3
2026-05-23,connector:telegram_connected,133,41
2026-05-24,connector:discord_connected,2,1
2026-05-24,connector:google_connected,8,7
2026-05-24,connector:slack_connected,5,3
2026-05-24,connector:telegram_connected,142,47
2026-05-25,connector:discord_connected,67,3
2026-05-25,connector:google_connected,76,12
2026-05-25,connector:google_workspace_folder_set,4,3
2026-05-25,connector:google_workspace_picker_unavailable,3,2
2026-05-25,connector:lark_connected,24,2
2026-05-25,connector:slack_connected,76,6
2026-05-25,connector:telegram_connected,158,42
2026-05-26,connector:google_connected,2,2
2026-05-26,connector:telegram_connected,7,5
